"iteration","module_count","n_participants"
"Fall 2022",1,"5"
"Fall 2022",2,"5"
"Fall 2022",3,"11"
"Spring 2022",1,"4"
"Spring 2022",2,"6"
"Spring 2022",3,"6"
"Spring 2022",4,"25"
"Spring 2023",1,"6"
"Spring 2023",2,"3"
"Spring 2023",3,"22"
